Texas Header,Texas Meaning / Use,Georgia Raw GDOT Column(s),Georgia Final Output Column(s),Match Type,Current Status in roadway_inventory.db,Notes
RDBD_ID,Texas roadway segment identifier,"ROUTE_ID + FROM_MILEPOINT + TO_MILEPOINT, RCLINK",unique_id,Derived,Present,Georgia uses a derived unique segment key rather than a direct Texas-style RDBD_ID field
HWY,Texas highway / route join field,"HWY_NAME, ROUTE_ID, RouteId",HWY_NAME,Proxy,Present,HWY_NAME is the closest final-output road-name field; ROUTE_ID and route-family fields may be needed for some joins
FRM_DFO,Texas begin measure for segment matching,"FROM_MILEPOINT, START_M, BeginPoint",FROM_MILEPOINT,Exact-ish,Present,Direct interval-begin analogue exists
TO_DFO,Texas end measure for segment matching,"TO_MILEPOINT, END_M, EndPoint",TO_MILEPOINT,Exact-ish,Present,Direct interval-end analogue exists
HSYS,Texas highway-system classification,"SYSTEM_CODE, F_SYSTEM, NHS",SYSTEM_CODE,Proxy,Present,System classification is proxied by SYSTEM_CODE and sometimes NHS_IND
DI,Texas direction indicator,"DIRECTION, ROUTE_DIRECTION",DIRECTION,Proxy,Present,ROUTE_DIRECTION is also available in final output
CO,Texas county code / county grouping field,"COUNTY, COUNTY_ID",COUNTY_CODE,Exact-ish,Present,Georgia final output normalizes county into COUNTY_CODE and COUNTY_NAME
NUM_LANES,Texas lane count,THROUGH_LANES,NUM_LANES,Derived,Present,NUM_LANES is the normalized final-output lane field
ADT_CUR,Texas current AADT,AADTRound,AADT,Derived,Present,AADT is the canonical current traffic field in the Georgia final output
AADT_DESGN,Texas design / future AADT,Future_AADT,FUTURE_AADT_2044,Proxy,Present,FUTURE_AADT_2044 has near-complete coverage: GDOT official + HPMS + direction mirror for ~22% then official implied growth projection (~1.17% annual) fills the rest
K_FAC,Texas K-factor,K_Factor,K_FACTOR,Exact-ish,Present,Direct traffic-factor analogue exists
D_FAC,Texas directional factor,D_Factor,D_FACTOR,Exact-ish,Present,Direct traffic-factor analogue exists
TRK_DHV_PCT,Texas truck design-hour percent,HPMS pct_dh_single + pct_dh_combination,TRK_DHV_PCT,Derived,Present,Primary: HPMS design-hour truck percent. Fallback: TRUCK_PCT approximation for non-HPMS segments
AADT_TRUCKS,Texas truck AADT,"Single_Unit_AADT + Combo_Unit_AADT, TRUCK_AADT",TRUCK_AADT,Derived,Present,Georgia final output already has TRUCK_AADT
PCT_SADT,Texas single-unit truck percent,Single_Unit_AADT,PCT_SADT,Derived,Present,SINGLE_UNIT_AADT_2024 / AADT x 100. Materialized in normalize.py
PCT_CADT,Texas combination-truck percent,Combo_Unit_AADT,PCT_CADT,Derived,Present,COMBO_UNIT_AADT_2024 / AADT x 100. Materialized in normalize.py
DVMT,Texas daily vehicle miles traveled,VMT,VMT,Proxy,Present,VMT exists in the final output but needs confirmation that it is equivalent enough to Texas DVMT for crash-rate use
SEC_EVAC,Texas evacuation-route flag,,SEC_EVAC,Derived,Present,Spatial overlay of GDOT EOC hurricane evacuation routes (268 features) and contraflow routes (12 features). Flags segments where overlap exceeds 200 m.
NHFN,Texas national highway freight-network flag,"NHS, STRAHNET",NHS_IND,Proxy,Present,STRAHNET is also present in final output and may be a better freight proxy in some cases
SEC_TRUNK,Texas state trunk-system flag,No Georgia raw header,No Georgia final-output column,No equivalent,Not applicable,Georgia does not have a state trunk-system classification
MED_TYPE,Texas median-type field,MEDIAN_TYPE,MEDIAN_TYPE,Exact-ish,Present,Direct field exists but underlying coverage is sparse
HWY_DES,Texas roadway design class,"NUM_LANES + MEDIAN_TYPE + ROUTE_FAMILY + HPMS_ACCESS_CONTROL",HWY_DES,Derived,Present,Highway design class (e.g. 4D 2U). Materialized in normalize.py
geometry,Texas segment geometry,geometry,geometry,Exact-ish,Present,Geometry exists in the staged GeoPackage output rather than inside the SQLite table
