Texas Header,Georgia Raw Header,Georgia Final Output Header,Raw Match Type,Final Match Type,Current Final Output Status,Notes
RDBD_ID,RCLINK,unique_id,Proxy,Derived,Present,"Georgia keeps RCLINK, but the canonical final segment identifier is unique_id derived from ROUTE_ID plus milepoints."
HWY,ROUTE_ID,HWY_NAME,Proxy,Proxy,Present,"HWY_NAME is the closest final-output road-name field. ROUTE_ID and route-family fields may still be needed for some joins."
FRM_DFO,FROM_MILEPOINT,FROM_MILEPOINT,Exact-ish,Exact-ish,Present,"Direct begin-measure analogue exists."
TO_DFO,TO_MILEPOINT,TO_MILEPOINT,Exact-ish,Exact-ish,Present,"Direct end-measure analogue exists."
HSYS,SYSTEM_CODE,SYSTEM_CODE,Proxy,Proxy,Present,"SYSTEM_CODE is the closest Georgia route-system field. NHS_IND may also be needed depending on Texas logic."
DI,DIRECTION,DIRECTION,Proxy,Proxy,Present,"ROUTE_DIRECTION is also available in final output if a normalized directional field is preferred."
CO,COUNTY_ID,COUNTY_CODE,Exact-ish,Exact-ish,Present,"Georgia normalizes county into COUNTY_CODE and COUNTY_NAME in final output."
NUM_LANES,THROUGH_LANES,NUM_LANES,Derived,Derived,Present,"NUM_LANES is the normalized final lane field after ETL sync."
ADT_CUR,AADTRound,AADT,Derived,Derived,Present,"AADT is the canonical current traffic field in Georgia final output."
AADT_DESGN,Future_AADT,FUTURE_AADT_2044,Proxy,Proxy,Present,"FUTURE_AADT_2044 has near-complete coverage: GDOT official + HPMS + direction mirror for ~22% of segments, then official implied growth projection (~1.17% annual) fills the rest."
K_FAC,K_Factor,K_FACTOR,Exact-ish,Exact-ish,Present,"Direct traffic-factor analogue exists."
D_FAC,D_Factor,D_FACTOR,Exact-ish,Exact-ish,Present,"Direct traffic-factor analogue exists."
TRK_DHV_PCT,,,Gap,Gap,Missing,"No direct Georgia equivalent has been identified in the staged schema."
AADT_TRUCKS,,TRUCK_AADT,Derived,Derived,Present,"Final-output TRUCK_AADT exists. At raw level this is derived from truck traffic components rather than carried as a single source header."
PCT_SADT,Single_Unit_AADT,PCT_SADT,Proxy,Derived,Present,"SINGLE_UNIT_AADT_2024 / AADT x 100. Materialized in normalize.py."
PCT_CADT,Combo_Unit_AADT,PCT_CADT,Proxy,Derived,Present,"COMBO_UNIT_AADT_2024 / AADT x 100. Materialized in normalize.py."
DVMT,VMT,VMT,Proxy,Proxy,Present,"VMT exists in final output, but we should confirm whether it is equivalent enough to Texas DVMT for crash-rate calculations."
SEC_EVAC,,SEC_EVAC,Derived,Derived,Present,"Spatial overlay of GDOT EOC hurricane evacuation routes (268 features) and contraflow routes (12 features) against the staged roadway network. Flags segments where overlap exceeds 200 m."
NHFN,NHS,NHS_IND,Proxy,Proxy,Present,"STRAHNET is also present in final output and may be a better freight-network proxy in some use cases."
SEC_TRUNK,,,No equivalent,No equivalent,Not applicable,"Georgia does not have a state trunk-system classification. No equivalent exists in GDOT data."
MED_TYPE,MEDIAN_TYPE,MEDIAN_TYPE,Exact-ish,Exact-ish,Present,"Direct field exists, but underlying source coverage is sparse."
HWY_DES,"NUM_LANES + MEDIAN_TYPE + ROUTE_FAMILY + HPMS_ACCESS_CONTROL",HWY_DES,Derived,Derived,Present,"Highway design class (e.g. 4D, 2U). Divided when MEDIAN_TYPE != 1, Interstate, or HPMS access-control 1-3 with 4+ lanes. Materialized in normalize.py."
geometry,geometry,geometry,Exact-ish,Exact-ish,Present,"Geometry exists in the staged GeoPackage output rather than as a geometry column in the SQLite table."
,F_SYSTEM,FUNCTIONAL_CLASS,Georgia-only,Georgia-only,Present,"FHWA functional classification (98.7% coverage). Feeds capacity lookups and functional class grouping in RAPTOR Mobility scoring."
,FACILITY_TYPE,FACILITY_TYPE,Georgia-only,Georgia-only,Present,"Facility type code — two-way, one-way, ramp (98.7% coverage). Used for divided/undivided determination in Mobility capacity calculations. Replaces Texas MED_TYPE + CLMB_PS_LANE logic."
,URBAN_ID,URBAN_CODE,Georgia-only,Georgia-only,Present,"FHWA urbanized/rural area code (98.7% coverage). Drives urban/rural distinction for speed assumptions, capacity, and level-of-service in RAPTOR Mobility."
,OWNERSHIP,OWNERSHIP,Georgia-only,Georgia-only,Present,"Jurisdiction code — State DOT, county, city, etc. (98.7% coverage). Useful for scoping analysis to state-maintained network."
